[DEBUG] 2016-08-12 19:26:10,747 views number shifts: 2
[DEBUG] 2016-08-12 19:26:10,783 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 19:26:10,784 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 19:26:10,784 views amount: 2
[DEBUG] 2016-08-12 19:27:38,259 views number shifts: 2
[DEBUG] 2016-08-12 19:27:38,267 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 19:27:38,268 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 19:27:38,268 views amount: 2
[DEBUG] 2016-08-15 10:42:47,976 views number shifts: 2
[DEBUG] 2016-08-15 10:42:47,984 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 10:42:47,984 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 10:42:47,984 views amount: 2
[DEBUG] 2016-08-15 10:43:15,205 views number shifts: 2
[DEBUG] 2016-08-15 10:43:15,213 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 10:43:15,213 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 10:43:15,213 views amount: 2
[DEBUG] 2016-08-15 10:54:48,610 views number shifts: 2
[DEBUG] 2016-08-15 10:54:48,619 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 10:54:48,619 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 10:54:48,619 views amount: 2
[DEBUG] 2016-08-15 11:01:54,824 views number shifts: 2
[DEBUG] 2016-08-15 11:01:54,862 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:01:54,862 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:01:54,863 views amount: 2
[DEBUG] 2016-08-15 11:02:06,642 views number shifts: 2
[DEBUG] 2016-08-15 11:02:06,651 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:02:06,651 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:02:06,651 views amount: 2
[DEBUG] 2016-08-15 11:08:53,410 views number shifts: 2
[DEBUG] 2016-08-15 11:08:53,418 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:08:53,419 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:08:53,419 views amount: 2
[DEBUG] 2016-08-15 11:16:47,405 views number shifts: 2
[DEBUG] 2016-08-15 11:16:47,414 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:16:47,415 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:16:47,415 views amount: 2
[DEBUG] 2016-08-15 11:17:27,737 views number shifts: 2
[DEBUG] 2016-08-15 11:17:27,746 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:17:27,746 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:17:27,746 views amount: 2
[DEBUG] 2016-08-15 11:17:49,880 views number shifts: 2
[DEBUG] 2016-08-15 11:17:49,890 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:17:49,890 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:17:49,891 views amount: 2
[DEBUG] 2016-08-15 11:28:08,973 views number shifts: 2
[DEBUG] 2016-08-15 11:28:08,984 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:28:08,984 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:28:08,984 views amount: 2
[DEBUG] 2016-08-15 11:28:34,718 views number shifts: 2
[DEBUG] 2016-08-15 11:28:34,726 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:28:34,726 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:28:34,726 views amount: 2
[DEBUG] 2016-08-15 11:30:28,672 views number shifts: 2
[DEBUG] 2016-08-15 11:30:28,680 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:30:28,681 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:30:28,681 views amount: 2
[DEBUG] 2016-08-15 11:34:12,864 views number shifts: 2
[DEBUG] 2016-08-15 11:34:12,904 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:34:12,905 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:34:12,905 views amount: 2
[DEBUG] 2016-08-15 11:54:45,300 views number shifts: 2
[DEBUG] 2016-08-15 11:54:45,307 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:54:45,308 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:54:45,308 views amount: 2
[DEBUG] 2016-08-15 11:59:02,445 views number shifts: 2
[DEBUG] 2016-08-15 11:59:02,481 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 11:59:02,481 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 11:59:02,482 views amount: 2
[DEBUG] 2016-08-15 12:07:51,578 views number shifts: 2
[DEBUG] 2016-08-15 12:07:51,586 views Starting day: 2016-06-20
[DEBUG] 2016-08-15 12:07:51,586 views Ending day: 2016-06-26
[DEBUG] 2016-08-15 12:07:51,586 views amount: 2
[DEBUG] 2016-08-16 10:24:19,427 views number shifts: 2
[DEBUG] 2016-08-16 10:24:19,436 views Starting day: 2016-06-20
[DEBUG] 2016-08-16 10:24:19,436 views Ending day: 2016-06-26
[DEBUG] 2016-08-16 10:24:19,436 views amount: 2
